date,time,millis,ax,ay,az,rollrate,pitchrate,yawrate,roll,pitch,yaw,speed,course,latitude,longitude,altitude,pdop,hdop,vdop,epe,fix,satellites_view,satellites_used,temp
270614,113547400,1403868947597.917,-0.3628,-1.0982,-9.8452,-0.1391,-0.626,0.4869,6.3733,-1.6358,165.3203,0.64,334.54,51.039464,13.79306,142.23,2.44,1.32,2.05,4.0,3,8,8,34.84
270614,113547400,1403868947618.4932,-0.2647,-1.1473,-9.9139,-0.0695,-0.4869,0.3478,6.2666,-1.5595,165.1223,0.64,334.54,51.039464,13.79306,142.23,2.44,1.32,2.05,4.0,3,8,8,34.84
270614,113547400,1403868947637.46,-0.2451,-1.0688,-10.0217,-0.2782,-0.5565,0.2782,6.2518,-1.5346,164.9825,0.64,334.54,51.039464,13.79306,142.23,2.44,1.32,2.05,4.0,3,8,8,34.84
270614,113547400,1403868947658.907,-0.3726,-1.1178,-9.8943,-0.2086,-0.5565,0.4869,6.2188,-1.7518,164.8566,0.64,334.63,51.039464,13.79306,142.23,2.44,1.32,2.05,4.0,3,8,8,34.84
270614,113547500,1403868947678.2998,-0.3334,-1.0982,-9.9335,-0.2086,-0.4869,0.5565,6.4872,-1.8032,164.901,0.64,334.63,51.039464,13.79306,142.23,2.44,1.32,2.05,4.0,3,8,8,34.84
270614,113547500,1403868947697.4521,-0.3039,-1.0884,-9.8648,-0.2086,-0.5565,0.4173,6.5801,-1.7387,164.8979,0.64,334.63,51.039465,13.79306,142.23,2.44,1.32,2.05,4.0,3,8,8,34.84
270614,113547500,1403868947717.9922,-0.3334,-1.1375,-9.8746,-0.0695,-0.3478,0.3478,6.4864,-1.7574,164.9173,0.64,334.63,51.039465,13.79306,142.23,2.44,1.32,2.05,4.0,3,8,8,34.84
270614,113547500,1403868947738.3152,-0.2941,-1.1571,-9.9629,-0.2086,-0.6956,0.626,6.506,-1.7949,164.9539,0.64,334.63,51.039465,13.79306,142.23,2.44,1.32,2.05,4.0,3,8,8,34.84
270614,113547500,1403868947758.2969,-0.3628,-1.108,-9.9825,-0.0695,-0.4869,0.3478,6.6264,-1.7895,165.0179,0.64,334.63,51.039465,13.79306,142.23,2.44,1.32,2.05,4.0,3,8,8,34.84
270614,113547600,1403868947777.978,-0.3628,-1.1375,-9.8256,0.0695,-0.4869,0.3478,6.5399,-1.824,165.033,0.64,334.72,51.039465,13.79306,142.23,2.44,1.32,2.05,4.0,3,8,8,34.84
